ID	WORKRESOURCEID	EMPLOYEEFILTERID
1722388017	57618	1863
1722388018	25701	4735
1722388019	25703	4735
1722388020	33401	4735
1722388021	43557	4735
1722388022	43941	4735
1722388023	44429	4735
1722388024	51603	4735
1722388025	35062	8230
1722388026	39209	8230
1722388027	39802	8230
1722388028	40567	8230
1722388029	41652	8230
1722388030	41653	8230
1722388031	41665	8230
1722388032	41673	8230
1722388033	41769	8230
1722388034	42379	8230
1722388035	44973	8230
1722388036	44998	8230
1722388037	45037	8230
1722388038	46490	8230
1722388039	46981	8230
1722388040	51429	8230
1722388041	57668	8230
1722388042	57941	8230
1722388043	58145	8230
1722388044	43805	152
1722388045	43806	152
1722388046	43807	152
1722388047	43808	152
1722388048	43809	152
1722388049	43810	152
1722388068	624	1866
1722388069	735	1866
1722388070	857	1866
1722388071	938	1866
1722388072	1040	1866
1722388073	1043	1866
1722388074	1063	1866
1722388075	1082	1866
1722388076	7773	1866
1722388077	12604	1866
1722388078	22974	1866
1722388079	23195	1866
1722388080	47510	1866
1722388081	8061	1317
1722388082	54563	18693
1722388083	39291	18693
1722388084	54600	18693
1722388085	54617	18693
1722388086	54633	18693
1722388087	54634	18693
1722388088	54780	18693
1722388089	54586	18693
1722388090	54593	18693
1722388091	54596	18693
1722388092	54608	18693
1722388093	54609	18693
1722388094	54637	18693
1722388095	54663	18693
1722388096	54822	18693
1722388097	54554	18693
1722388098	54565	18693
1722388099	54573	18693
1722388100	54602	18693
1722388101	54615	18693
1722388102	54811	18693
1722388103	32903	18694
1722388104	33483	18694
1722388105	26162	18694
1722388106	1320	18694
1722388107	1333	18694
1722388108	35167	18694
1722388109	34992	18694
1722388110	18117	18694
1722388111	33486	18694
1722388112	26171	18694
1722388113	26157	18694
1722388114	24020	18694
1722388115	24023	18694
1722388116	24430	18694
1722388117	24609	18694
1722388118	30427	18694
1722388119	30401	18694
1722388120	35158	18694
1722388121	21352	18694
1722388122	22050	18694
1722388123	24612	18694
1722388124	60	159
1722388125	147	159
1722388126	16739	159
1722388127	18263	159
1722388128	18727	159
1722388129	18728	159
1722388130	18959	159
1722388131	21752	159
1722388132	21775	159
1722388133	22150	159
1722388134	23036	159
1722388135	23966	159
1722388136	23967	159
1722388137	33530	159
1722388138	34955	159
1722388139	42301	159
1722388140	43831	159
1722388141	32903	4988
1722388142	33483	4988
1722388143	26162	4988
1722388144	1320	4988
1722388145	1333	4988
1722388146	35167	4988
1722388147	34992	4988
1722388148	18117	4988
1722388149	33486	4988
1722388150	26171	4988
1722388151	26157	4988
1722388152	24020	4988
1722388153	24023	4988
1722388154	24430	4988
1722388155	24609	4988
1722388156	30427	4988
1722388157	30401	4988
1722388158	35158	4988
1722388159	21352	4988
1722388160	22050	4988
1722388161	24612	4988
1722388162	8061	173
1722388163	8070	173
1722388164	8072	173
1722388165	10	174
1722388166	16	174
1722388167	77	174
1722388168	86	174
1722388169	107	174
1722388170	111	174
1722388171	141	174
1722388172	153	174
1722388173	12442	174
1722388174	15528	174
1722388175	18260	174
1722388176	18280	174
1722388177	18282	174
1722388178	18716	174
1722388179	18719	174
1722388180	18722	174
1722388181	18729	174
1722388182	18730	174
1722388183	18763	174
1722388184	18918	174
1722388185	19859	174
1722388186	20023	174
1722388187	20032	174
1722388188	21297	174
1722388189	21502	174
1722388190	21758	174
1722388191	21765	174
1722388192	21772	174
1722388193	22132	174
1722388194	22142	174
1722388195	22145	174
1722388196	22149	174
1722388197	22955	174
1722388198	22957	174
1722388199	22966	174
1722388200	22967	174
1722388201	23073	174
1722388202	23077	174
1722388203	23078	174
1722388204	23081	174
1722388205	23214	174
1722388206	23217	174
1722388207	23220	174
1722388208	23223	174
1722388209	23225	174
1722388210	23227	174
1722388211	23231	174
1722388212	23455	174
1722388213	23456	174
1722388214	23462	174
1722388215	23466	174
1722388216	23964	174
1722388217	23969	174
1722388218	23972	174
1722388219	24001	174
1722388220	24006	174
1722388221	24547	174
1722388222	24551	174
1722388223	24556	174
1722388224	25185	174
1722388225	25188	174
1722388226	25192	174
1722388227	25314	174
1722388228	25331	174
1722388229	26179	174
1722388230	26182	174
1722388231	26184	174
1722388232	31319	174
1722388233	31322	174
1722388234	31323	174
1722388235	33521	174
1722388236	33522	174
1722388237	33523	174
1722388238	34962	174
1722388239	35012	174
1722388240	35015	174
1722388241	35016	174
1722388242	35019	174
1722388243	35020	174
1722388244	35108	174
1722388245	35109	174
1722388246	35114	174
1722388247	35115	174
1722388248	35119	174
1722388249	35760	174
1722388250	35761	174
1722388251	35765	174
1722388252	35771	174
1722388253	35772	174
1722388254	35773	174
1722388255	35774	174
1722388256	36663	174
1722388257	36664	174
1722388258	37702	174
1722388259	37704	174
1722388260	37706	174
1722388261	37708	174
1722388262	37709	174
1722388263	37710	174
1722388264	37711	174
1722388265	39277	174
1722388266	39282	174
1722388267	39285	174
1722388268	39603	174
1722388269	39606	174
1722388270	39607	174
1722388271	39612	174
1722388272	39617	174
1722388273	39619	174
1722388274	39620	174
1722388275	39706	174
1722388276	39707	174
1722388277	39708	174
