ID	PERSONID	EMPLOYEETYPEID	ASSIGNEDPOINTS	BADGE	EMPLOYEENUMBER	STARTTIME	ENDTIME	CHANGECOUNTER	MODIFIEDBY	ISSUPERVISOR	ISTEAMLEAD	PREFERREDSTART
56708	10582	1	0	NULL	47421	2011-09-19 05:00:00.000	2011-11-02 04:59:00.000	5	veronicavidaurri	0	0	0
56733	10607	1	0	NULL	47398	2011-09-19 05:00:00.000	2012-04-01 04:59:00.000	5	jennifer.johnson	0	0	0
56739	10613	1	0	NULL	47405	2011-09-19 05:00:00.000	2012-04-01 04:59:00.000	5	jennifer.johnson	0	0	0
56749	10623	1	0	NULL	47455	2011-09-26 05:00:00.000	2012-01-15 05:59:00.000	5	veronicavidaurri	0	0	0
56759	10633	1	0	NULL	47518	2011-09-26 05:00:00.000	2011-12-03 05:59:00.000	4	veronicavidaurri	0	0	0
56762	10636	1	0	NULL	47563	2011-09-26 05:00:00.000	2011-10-01 04:59:00.000	5	heather.trautman	0	0	0
56763	10637	1	0	NULL	47535	2011-09-26 05:00:00.000	2012-04-01 04:59:00.000	3	veronicavidaurri	0	0	0
56766	10640	1	0	NULL	47515	2011-09-26 05:00:00.000	2012-04-01 04:59:00.000	4	veronicavidaurri	0	0	0
56767	10641	1	0	NULL	47529	2011-09-26 05:00:00.000	2012-03-20 04:59:00.000	5	veronicavidaurri	0	0	0
56769	10643	1	0	NULL	47524	2011-09-26 05:00:00.000	2012-02-05 05:59:00.000	4	veronicavidaurri	0	0	0
56777	10651	1	0	NULL	47538	2011-09-26 05:00:00.000	2011-10-22 04:59:59.000	8	rita.barrientos	0	0	0
56778	10652	1	0	NULL	47511	2011-09-26 05:00:00.000	2012-04-01 04:59:00.000	6	heather.trautman	0	0	0
56798	10672	1	0	NULL	47389	2011-09-19 05:00:00.000	2012-01-21 05:59:00.000	4	veronicavidaurri	0	0	0
56812	10686	1	0	NULL	47538	2011-09-30 05:00:00.000	2011-10-01 04:59:59.000	1	delfinalrodriguez	0	0	0
56816	10690	1	0	NULL	47507	2011-09-26 05:00:00.000	2012-03-11 05:59:00.000	11	veronicavidaurri	0	0	0
56817	10691	1	0	NULL	47549	2011-09-26 05:00:00.000	2011-10-07 04:59:00.000	7	jhunger	0	0	0
56829	10703	1	0	NULL	NULL	2011-09-29 05:00:00.000	2012-06-15 04:59:00.000	13	tammylewis	0	0	0
56830	10704	1	0	NULL	NULL	2011-09-29 05:00:00.000	2012-04-18 04:59:00.000	11	tammylewis	0	0	0
56831	10705	1	0	NULL	NULL	2011-09-29 05:00:00.000	2013-01-24 05:59:00.000	14	marygaskin	0	0	0
56836	10710	1	0	NULL	NULL	2011-09-29 05:00:00.000	2013-03-15 04:59:00.000	17	maryholt	0	0	0
56837	10711	1	0	NULL	NULL	2011-09-29 05:00:00.000	2012-05-15 04:59:00.000	14	marygaskin	0	0	0
56840	10714	1	0	NULL	NULL	2011-09-29 05:00:00.000	NULL	13		0	0	0
56841	10715	1	0	NULL	NULL	2011-09-29 05:00:00.000	2012-03-15 04:59:00.000	11	tammylewis	0	0	0
56845	10719	1	0	NULL	NULL	2011-09-29 05:00:00.000	2012-06-29 04:59:00.000	9	tammylewis	0	0	0
56847	10721	1	0	NULL	NULL	2011-09-29 05:00:00.000	NULL	13		0	0	0
56848	10722	1	0	NULL	NULL	2011-09-29 05:00:00.000	NULL	15		0	0	0
56851	10725	1	0	NULL	NULL	2011-09-29 05:00:00.000	NULL	18	tammylewis	0	0	0
56855	10729	1	0	NULL	NULL	2011-09-29 05:00:00.000	NULL	20		0	0	0
56859	10733	1	0	NULL	NULL	2011-09-29 05:00:00.000	2012-06-28 04:59:00.000	13	marygaskin	0	0	0
56861	10735	1	0	NULL	47519	2011-09-26 05:00:00.000	2011-10-28 04:59:00.000	7	veronicavidaurri	0	0	0
56864	10738	1	0	NULL	47531	2011-09-26 05:00:00.000	NULL	11	kimlewis	0	0	0
56866	10740	1	0	NULL	NULL	2011-09-29 05:00:00.000	2013-03-22 04:59:00.000	25	maryholt	0	0	0
56868	10742	1	0	NULL	47567	2011-09-26 05:00:00.000	2012-01-19 05:59:00.000	6	veronicavidaurri	0	0	0
56869	10743	1	0	NULL	NULL	2011-09-29 05:00:00.000	NULL	33	josegonzalez	0	0	0
56878	10752	1	0	NULL	NULL	2011-09-29 05:00:00.000	2011-12-01 05:59:00.000	4	tammylewis	0	0	0
56879	10753	1	0	NULL	47615	2011-09-26 05:00:00.000	2012-03-29 04:59:00.000	8	veronicavidaurri	0	0	0
56880	10754	1	0	NULL	46928	2011-09-26 05:00:00.000	2011-09-30 04:59:00.000	3	heather.trautman	0	0	0
56884	10758	1	0	NULL	NULL	2011-09-29 05:00:00.000	2012-03-16 04:59:00.000	11	tammylewis	0	0	0
56889	10763	1	0	NULL	NULL	2011-09-29 05:00:00.000	NULL	13		0	0	0
56890	10764	1	0	NULL	NULL	2011-09-29 05:00:00.000	2013-06-14 04:59:00.000	19	maryholt	0	0	0
56891	10765	1	0	NULL	NULL	2011-09-29 05:00:00.000	2011-11-02 04:59:00.000	4	tammylewis	0	0	0
56894	10768	1	0	NULL	NULL	2011-09-29 05:00:00.000	NULL	12		0	0	0
56895	10769	1	0	NULL	NULL	2011-09-29 05:00:00.000	NULL	13		0	0	0
56900	10774	1	0	NULL	47568	2011-09-26 05:00:00.000	2012-04-01 04:59:00.000	8	delfinalrodriguez	0	0	0
56902	10776	1	0	NULL	NULL	2011-10-05 05:00:00.000	NULL	3	jhunger	0	0	0
57206	10897	1	0	NULL	47789	2011-10-10 05:00:00.000	2012-04-05 04:59:00.000	10	veronicavidaurri	0	0	0
56904	10778	1	0	NULL	47538	2011-09-26 05:00:00.000	NULL	10	jennifer.johnson	0	0	0
57314	11005	1	0	NULL	48106	2011-10-24 05:00:00.000	2012-10-05 04:59:59.000	7	kimlewis	0	0	0
56907	10781	1	0	NULL	NULL	2011-10-10 05:00:00.000	NULL	23	tammylewis	0	0	0
56908	10782	1	0	NULL	NULL	2011-10-03 05:00:00.000	2011-10-26 04:59:00.000	7	tammylewis	0	0	0
56909	10783	1	0	NULL	NULL	2011-10-03 05:00:00.000	2012-03-30 04:59:00.000	18	marygaskin	0	0	0
56919	10793	1	0	NULL	NULL	2011-10-03 05:00:00.000	NULL	23	tammylewis	0	0	0
56920	10794	1	0	NULL	NULL	2011-10-03 05:00:00.000	2012-04-14 04:59:00.000	18	marygaskin	0	0	0
56921	10795	1	0	NULL	NULL	2011-10-03 05:00:00.000	NULL	25	maryholt	1	0	0
56925	10799	1	0	NULL	NULL	2011-10-03 05:00:00.000	2011-12-29 05:59:00.000	11	tammylewis	0	0	0
56926	10800	1	0	NULL	NULL	2011-10-03 05:00:00.000	2011-11-16 05:59:00.000	8	marygaskin	0	0	0
57251	10942	1	0	NULL	47859	2011-10-10 05:00:00.000	NULL	10	heather.trautman	0	0	0
57252	10943	1	0	NULL	47861	2011-10-10 05:00:00.000	2012-03-13 04:59:00.000	8	veronicavidaurri	0	0	0
54668	10324	1	0	NULL	45088	2011-05-02 05:00:00.000	NULL	4	jennifer.johnson	0	0	0
54673	10329	1	0	NULL	46950	2011-09-06 05:00:00.000	2012-03-17 04:59:00.000	7	veronicavidaurri	0	0	0
54676	10332	1	0	NULL	47032	2011-09-06 05:00:00.000	2012-01-15 05:59:00.000	7	veronicavidaurri	0	0	0
54683	10339	1	0	NULL	47235	2011-09-06 05:00:00.000	2011-12-22 05:59:00.000	5	veronicavidaurri	0	0	0
54687	10343	1	0	NULL	47036	2011-09-06 05:00:00.000	2012-02-14 05:59:00.000	5	veronicavidaurri	0	0	0
54688	10344	1	0	NULL	46954	2011-09-06 05:00:00.000	2012-01-31 05:59:00.000	6	veronicavidaurri	0	0	0
54692	10348	1	0	NULL	46922	2011-09-06 05:00:00.000	2012-03-04 05:59:00.000	5	veronicavidaurri	0	0	0
54693	10349	1	0	NULL	46943	2011-09-06 05:00:00.000	2012-02-18 05:59:00.000	6	veronicavidaurri	0	0	0
54697	10353	1	0	NULL	46921	2011-09-06 05:00:00.000	NULL	10	heather.trautman	0	0	0
54699	10355	1	0	NULL	47065	2011-09-06 05:00:00.000	2012-03-31 04:59:00.000	6	kimlewis	0	0	0
54704	10360	1	0	NULL	46929	2011-09-06 05:00:00.000	2012-03-31 04:59:00.000	6	kimlewis	0	0	0
54705	10361	1	0	NULL	46988	2011-09-06 05:00:00.000	2011-10-21 04:59:00.000	5	veronicavidaurri	0	0	0
54710	10366	1	0	NULL	47248	2011-09-06 05:00:00.000	2012-02-17 05:59:00.000	5	heather.trautman	0	0	0
54713	10369	1	0	NULL	47252	2011-09-06 05:00:00.000	2011-09-08 04:59:00.000	4	veronicavidaurri	0	0	0
54730	10386	1	0	NULL	46925	2011-09-06 05:00:00.000	2013-03-05 05:59:59.000	9	jennifer.johnson	0	0	0
54731	10387	1	0	NULL	46974	2011-09-06 05:00:00.000	2012-02-11 05:59:00.000	5	heather.trautman	0	0	0
54738	10394	1	0	NULL	46949	2011-09-06 05:00:00.000	NULL	8	heather.trautman	0	0	0
54740	10396	1	0	NULL	47053	2011-09-06 05:00:00.000	2011-12-24 05:59:00.000	4	veronicavidaurri	0	0	0
54743	10399	1	0	NULL	47239	2011-09-06 05:00:00.000	2012-02-22 05:59:00.000	4	heather.trautman	0	0	0
54749	10405	1	0	NULL	47037	2011-09-06 05:00:00.000	2012-04-01 04:59:00.000	5	heather.trautman	0	0	0
54751	10407	1	0		47068	2003-09-13 05:00:00.000	NULL	8		0	0	0
